id,text,likes,date,views
10660,"""О, нет! Это что? Сессия?"" - подумал ты 
""Ну ничего, мы поможем!"" - говорим мы 
 
Напиши нам! Специалисты BrainProfi Project помогут тебе разобраться с абсолютно любым вопросом! 
 
https://vk.com/brainprofi 
https://vk.com/brainshot_project
 
#право #история #политология #социология #философия #английский #экономика #матан #физика #тфкп #тервер #химия #педагогика #психология",9,1700308339,19145
11259,"П: Что-то мало людей на конференции
- У меня с аккаунта 7 человек слушает
П: Ок! Почти как футбол

#Гец_mipt",71,1715435332,1662
11258,"Это будет долго, скучно, и самое главное, что не нужно

#Ремизов_mipt",26,1715435321,1099
11257,"Анонсируем новый хакатон от SENSE и Акселератора Возможностей! 
 
«GeoVision Hack» - трёхдневное соревнование в гибридном формате, которое соберет талантливых разработчиков со всей России для работы над увлекательным кейсом от организаторов! 
 
Принять участие в хакатоне смогут студенты ИТ-направлений; junior, middle и senior разработчики, готовые разработать лучшее решение актуального кейса! 
 
Читай подробности⬇ 
 
🔴Кейс, который предстоит решить: Алгоритм для автооцифровки данных геофизических исследований скважин (ГИС) 
 
🔴Формат: мероприятие пройдёт в гибридном формате. Если ваша команда из региона, вам доступно участие в онлайн-формате, если из Москвы, то приглашаем вас на площадку 26 мая для презентации своей работы перед экспертами. 
 
🔴Даты хакатона: 24 - 26 мая 2024 г. 
 
🔴Дедлайн регистрации: до 21.05.2024, 23:59 МСК 
 
Регистрация уже доступна по ссылке: https://clck.ru/3AZeJp 
 
Что тебя ждёт? 
- призовой фонд – 300.000 ₽ 
- знакомство с участниками и экспертами компаний 
- новый кейс в портфолио 
- соревнование и командная работа 
 
⚡️Стань частью «GeoVision Hack» и разработай лучший алгоритм!⚡️",0,1715421815,589
11253,"Если гадость и могла случиться, то уже в старших порядках

#Корибут_mipt",87,1714990296,4722
11252,"Присоединяйся к RedLab Hack — онлайн-хакатону, который объединит талантливых разработчиков! Прояви свои навыки, найди новые возможности для развития! 
 
На RedLab/Hack тебя ждёт увлекательная программа, включающая в себя технические лекции, мастер-классы, командную работу над проектами и защиты результатов. Ты сможешь узнать больше о компаниях-организаторах, преимуществах работы и оставить отклик на интересующие вакансии! 
 
Кейсы: 
1. Разработка модели для выявления аномалий во временном ряду; 
2. Разработка модели для поиска корреляций в данных; 
3. Разработка плагина для Grafana для построения карты сервисов. 
 
Призовой фонд - 300 000 рублей! 
 
Дата проведения: 24 - 26 мая 
Формат: онлайн 
 
Подробная информация и регистрация: https://clck.ru/3AUiUK",0,1714989964,1371
11245,"Сложно придумать что-то более низкоуровневое, чем это

#Шевченко_mipt",62,1714748144,5291
11244,"Начальная краевая задачка
#Иванов_mipt",45,1714748140,4867
11240,"Сделаем первое мотивированное действие в нашем шапито

#Колдунов_mipt ЛМ",156,1714573318,8536
11236,"Если вы переводите, то развиваете свой русский. Если вы используете дефиниции, то развиваете английский 

#Кабанова_mipt",69,1713948300,6171
11229,"Если у вас есть еж, который гомеоморфен трёхмерной сфере...

#Ершов_mipt",177,1713810990,6552
11228,"Ты Java-разработчик?
Присоединяйся к IT_One CAREER HACKATHON 2024! 💚

Приглашаем Java-разработчиков, ИТ-специалистов уровня junior, middle и senior, провести 3 дня за решением кейса от IT_One.

Рассказываем подробнее:

🟢Кейс, который предстоит решить: разработка приложения для управления финансами
🟢Формат: мероприятие пройдёт онлайн
🟢Даты хакатона: 17 - 19 мая 2024
🟢Дедлайн регистрации: до 13.05.2024, 23:59 МСК

Регистрация уже доступна по ссылке: https://clck.ru/3AEVWq

Что тебя ждёт?

– Новый кейс в портфолио
– Мерч для победителей и сертификаты всем участникам
– Призовой фонд – 500.000 рублей
– Встречи с экспертами и питчи
– Командная работа

Проведи выходные с максимальной пользой, участвуй в хакатоне и решай задачу под руководством специалистов на хакатоне от IT_One!
💚

#IT_One #JavaРазработчики #Хакатон",0,1713772862,2212
11226,"Пятью пять - двадцать пять, шестью шесть - тридцать шесть, семью семь - сорок семь, конечно!

#Ремизов_mipt",163,1713602517,6273
11223,"Я дам вам наводку. Не на водку, а наводку. 
#Агаханов_mipt",345,1713542560,10839
11222,"Всегда есть элемент, который смотрит в никуда и элемент, на который не смотрит никто

#Шевелёв_mipt",95,1713542502,6462
11216,"П: Это называется пфаффиан.
С: У меня так котик фыркает.
П: Может, он в прошлой жизни был математиком. Пытается сказать: ""Учите пфаффиан - пригодится""

#Ершов_mipt",210,1713213496,9436
11214,"Хватит ли мне греческих букв?

#Ершов_mipt",159,1713105911,6792
11210,"Не буду писать формулу, потому что это будет ужасно

#Карасев_mipt (Запись 2022г)",124,1712999888,6641
11206,"Д: В прошлый раз мы рассматривали с вами тензорные операции, а они очень важны по тому, что делают из тензора тензор, а слово тензор имеет смысловую нагрузку!

#Дорофеенко_mipt",74,1712933551,7087
11205,,1,1712904319,2180
11200,"Е:Потом я покажу вам эксперимент с ремнем.
*Смех*
Е:Не волнуйтесь,это не больно. И даже не будет обидно.
#Ершов_mipt",114,1712688658,6544
11199,"Подумайте сами, если хотите. Если не хотите - не думайте.

#Константинов_mipt",117,1712688652,6254
11198,"Задача слишком примитивна, чтобы я её правильно решил.

#Константинов_mipt",235,1712688647,7824
11197,"П: Нужно выбрать место для удара головой о стену. 
С: Это же вредно! 
П: Для стены - да. 
#Кобякин_mipt",136,1712688642,5514
11193,"Давайте я, вместо того чтобы писать, буду водить пальцем по диаграмме 
 
#Скуридин_mipt",67,1712508629,5332
11191,"Это называется алгоритм Радо-Эдмондса... 2 произвольные фамилии

#Шевелев_mipt",70,1712507655,5687
11183,"* группа шумит*
- Так, давайте 10 минут помолчим, а потом резко пойдем чиллить

#Никачёв_mipt",199,1712304508,6740
11170,"Рассмотрим случай прямоугольной сферы 
#Колганов_mipt",216,1712165027,7981
11169,"П: Возникают у вас физические ассоциации? Вот, помните, в СТО...
С: Не помним

#Ершов_mipt",145,1712165023,6949
11159,"Умение считать для математика - желательное, но не необходимое условие 

#Ершов_mipt",485,1712085655,12055
